year,title,venue,doi
2023,Rec4Ad: A Free Lunch to Mitigate Sample Selection Bias for Ads CTR Prediction in Taobao,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615496
2023,Test-Time Embedding Normalization for Popularity Bias Mitigation,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615281
2023,Text Matching Improves Sequential Recommendation by Reducing Popularity Biases,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615077
2023,Tree based Progressive Regression Model for Watch-Time Prediction in Short-video Recommendation,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3580305.3599919
2023,What We Evaluate When We Evaluate Recommender Systems: Understanding Recommender Systems’ Performance using Item Response Theory,Proceedings of the 17th ACM Conference on Recommender Systems,10.1145/3604915.3608809
2024,A Deep Prediction Framework for Multi-Source Information via Heterogeneous GNN,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3637528.3671966
2024,A Pre-trained Zero-shot Sequential Recommendation Framework via Popularity Dynamics,Proceedings of the 18th ACM Conference on Recommender Systems,10.1145/3640457.3688145
2024,Aligning Explanations for Recommendation with Rating and Feature via Maximizing Mutual Information,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,10.1145/3627673.3679663
2024,Calibrating the Predictions for Top-N Recommendations,Proceedings of the 18th ACM Conference on Recommender Systems,10.1145/3640457.3688177
2024,Cluster Anchor Regularization to Alleviate Popularity Bias in Recommender Systems,Companion Proceedings of the ACM Web Conference 2024,10.1145/3589335.3648312
2024,Decoupled Variational Graph Autoencoder for Link Prediction,Proceedings of the ACM Web Conference 2024,10.1145/3589334.3645601
2024,EASE: Learning Lightweight Semantic Feature Adapters from Large Language Models for CTR Prediction,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,10.1145/3627673.3680048
2024,Enhancing Sequential Music Recommendation with Personalized Popularity Awareness,Proceedings of the 18th ACM Conference on Recommender Systems,10.1145/3640457.3691719
2024,Integrating Matrix Factorization with Graph based Models,Proceedings of the 18th ACM Conference on Recommender Systems,10.1145/3640457.3688013
2024,Putting Popularity Bias Mitigation to the Test: A User-Centric Evaluation in Music Recommenders,Proceedings of the 18th ACM Conference on Recommender Systems,10.1145/3640457.3688102
2024,Real-Time Anomaly Detection and Popularity Prediction for Emerging Events on Twitter,Proceedings of the 2023 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,10.1145/3625007.3627517
2024,Recommender Systems Algorithm Selection for Ranking Prediction on Implicit Feedback Datasets,Proceedings of the 18th ACM Conference on Recommender Systems,10.1145/3640457.3691718
2024,Retrieval-Augmented Hypergraph for Multimodal Social Media Popularity Prediction,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3637528.3672041
2024,TEXT CAN BE FAIR: Mitigating Popularity Bias with PLMs by Learning Relative Preference,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,10.1145/3627673.3679581
2024,Temporal Interest Network for User Response Prediction,Companion Proceedings of the ACM Web Conference 2024,10.1145/3589335.3648340
2025,A Multi-Factor Collaborative Prediction for Review-based Recommendation,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3748062
2025,Balancing Accuracy and Novelty with Sub-Item Popularity,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3759311
2025,Beyond Immediate Click: Engagement-Aware and MoE-Enhanced Transformers for Sequential Movie Recommendation,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3748076
2025,D2: Customizing Two-Stage Graph Neural Networks for Early Rumor Detection through Cascade Diffusion Prediction,Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,10.1145/3701551.3703589
2025,Dual Pairwise Pre-training and Prompt-tuning with Aligned Prototypes for Interbank Credit Rating,Proceedings of the ACM on Web Conference 2025,10.1145/3696410.3714530
2025,Exploring the Effect of Context-Awareness and Popularity Calibration on Popularity Bias in POI Recommendations,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3748017
2025,Forecasting the Buzz: Enriching Hashtag Popularity Prediction with LLM Reasoning,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3760970
2025,Generalizable Recommender System During Temporal Popularity Distribution Shifts,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,10.1145/3690624.3709299
2025,Graph Meets LLM for Review Personalization based on User Votes,Proceedings of the ACM on Web Conference 2025,10.1145/3696410.3714691
2025,Improving CTR Prediction with Graph-Enhanced Interest Networks for Sparse Behavior Sequences,Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,10.1145/3701551.3703567
2025,Information Diffusion Prediction Based on User Multi-Dimensional Feature Interaction,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3760835
2025,On Inherited Popularity Bias in Cold-Start Item Recommendation,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3748035
2025,On the Cross-Graph Transferability of Dynamic Link Prediction,Proceedings of the ACM on Web Conference 2025,10.1145/3696410.3714712
2025,On the Role of Weight Decay in Collaborative Filtering: A Popularity Perspective,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3737068
2025,Popularity‑Bias Vulnerability: Semi‑Supervised Label Inference Attack on Federated Recommender Systems,Proceedings of the Nineteenth ACM Conference on Recommender Systems,10.1145/3705328.3748024
2025,Predicting Company ESG Ratings from News Articles Using Multivariate Timeseries Analysis,Companion Proceedings of the ACM on Web Conference 2025,10.1145/3701716.3717509
2025,Seeing the Unseen in Micro-Video Popularity Prediction: Self-Correlation Retrieval for Missing Modality Generation,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,10.1145/3690624.3709308
